title,common_keywords,all_keywords
DOODLE HEART HALF T WHITE GREYISH BLUE,"가격, 배송, 사이즈, 재질, 편하다","가격, 디자인, 배송, 빠르다, 사이즈, 색감, 어울리다, 여름, 오버핏, 재질, 편하다, 프린팅, 핏"
[SET] 워셔블 케이블 반팔 니트 세트,"가격, 니트, 배송, 색감, 재질","가격, 가성비, 니트, 덥다, 디자인, 맞다, 배송, 사이즈, 색감, 얇다, 여름, 재질, 핏"
[2PACK] 쿨 코튼 티셔츠 블랙+화이트,"가격, 배송, 사이즈, 얇다, 여름, 재질, 편하다","가격, 기본, 깔끔하다, 배송, 빠르다, 사이즈, 시원, 시원하다, 얇다, 여름, 재질, 커버낫, 티, 편하다, 핏"
[3천원 결제혜택]링클 체크 박시 오버핏 롤업 하프 셔츠 다크 네이비,"사이즈, 셔츠, 얇다, 재질, 편하다","가격, 단추, 배송, 사이즈, 셔츠, 시원, 시원하다, 얇다, 여름, 재질, 크다, 편하다, 핏"
460G 컷 헤비 피그먼트 티셔츠-차콜-,"색상, 여름, 재질","두껍다, 배송, 버먼 트, 사이즈, 색감, 색상, 소버먼트, 여름, 오버핏, 워싱, 재질, 적당하다, 편하다, 피그먼트, 핏"
[16수 코마사] 2PACK SMALL ARCH T-SHIRT WHITE _ BLACK,"가격, 사이즈, 여름, 재질, 편하다","가격, 가성비, 깔끔하다, 두껍다, 만족하다, 맞다, 배송, 비치다, 사이즈, 여름, 오버핏, 재질, 적당하다, 크다, 티, 편하다, 핏"
빈티지 워싱 네이비 체크셔츠,"배송, 사이즈, 색감, 얇다, 재질","가격, 배송, 사이즈, 색감, 색깔, 셔츠, 얇다, 여름, 재질, 적당하다, 체크, 편하다, 핏"
[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,"가격, 가성비, 사이즈, 시원하다, 여름, 운동, 재질, 편하다","가격, 가성비, 두껍다, 만족하다, 사이즈, 소재, 시원하다, 얇다, 여름, 운동, 운동복, 재질, 편하다"
TAG OG TEE - WHITE,"디자인, 배송, 사이즈, 오버핏, 재질, 편하다","깔끔하다, 디자인, 맞다, 배송, 빠르다, 사이즈, 세탁, 오버핏, 재질, 적당하다, 크기, 크다, 편하다, 프린팅, 핏"
[2PACK] EL 스트리트 아트워크 오버핏 반팔티 2종 2PACK,"가격, 배송, 얇다, 여름, 편하다","가격, 디자인, 맞다, 배송, 빠르다, 사이즈, 얇다, 여름, 오버핏, 자다, 재질, 적당하다, 편하다, 프린팅"
